# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 12 04:34:25 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optmagblend: Optical Magnitude Blend Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_teffblend:   Effective Temperature Blend Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_def_reflink: Default Reference
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_def_reflink
795,K2-130,b,Transit,1,2.49412000,0.00013200,-0.00012800,0,0.032000,0.001000,-0.001000,0,0.170000,0.220344,-0.135968,0,86.530,1.920,-1.650,0,,,,0,,0.112,0.018,-0.012,0,,,,0,0,0,1,0,19h21m04.86s,290.270264,-19d41m26.9s,-19.690807,,,,,12.759,0.010,0,,V (Johnson),,,,4356.47,196.73,-172.40,0,0,0.70,0.07,-0.07,0,0,0.74,0.11,-0.08,0,0,2017-10-05,,,,0,2457340.612000,0.001000,-0.001000,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
796,K2-131,b,Transit,1,0.36930380,0.00000910,-0.00000910,0,,,,0,0.000000,,,0,85.000,9.000,-10.000,0,0.02045,0.00503,-0.00503,0,Mass,0.161,0.014,-0.011,0,6.00000,3.00000,-2.70000,0,0,0,1,0,12h11m00.37s,182.751556,-09d45m54.8s,-9.765218,,,,,12.115,0.020,0,,V (Johnson),,,,5200.00,100.00,-100.00,0,0,0.84,0.03,-0.03,0,0,0.81,0.03,-0.03,0,0,2017-10-19,,,,0,2457582.936000,0.001100,-0.001100,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv171000076D target=ref>Dai et al. 2017</a>
797,K2-132,b,Transit,1,9.17510000,0.00230000,-0.00270000,0,,,,0,,,,0,,,,0,0.49000,0.06000,-0.06000,0,Mass,1.300,0.070,-0.070,0,,,,0,0,0,1,0,12h08m39.94s,182.166397,-08d44m49.8s,-8.747175,,,,,11.897,0.030,0,,V (Johnson),,,,4840.00,90.00,-90.00,0,0,1.08,0.08,-0.08,0,0,3.85,0.13,-0.13,0,0,2017-10-19,,,,0,2457590.149100,0.008000,-0.009000,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170605865G target=ref>Grunblatt et al. 2017</a>
798,K2-133,b,Transit,3,3.07120000,0.00010000,-0.00010000,0,0.033000,0.002000,-0.002000,0,,,,0,87.560,0.060,-0.050,0,,,,0,,0.117,0.007,-0.007,0,,,,0,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,14.288,0.010,0,,V (Johnson),,,,3655.00,80.00,-80.00,0,0,0.51,0.03,-0.03,0,0,0.47,0.03,-0.03,0,0,2017-10-26,0.0508333,0.0016667,-0.0008333,0,2457821.316800,0.001100,-0.001400,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901025W target=ref>Wells et al. 2017</a>
799,K2-133,c,Transit,3,4.86820000,0.00010000,-0.00030000,0,0.045000,0.003000,-0.003000,0,,,,0,88.650,0.080,-0.160,0,,,,0,,0.132,0.008,-0.008,0,,,,0,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,14.288,0.010,0,,V (Johnson),,,,3655.00,80.00,-80.00,0,0,0.51,0.03,-0.03,0,0,0.47,0.03,-0.03,0,0,2017-10-26,0.0675000,0.0016667,-0.0025000,0,2457823.765600,0.002300,-0.000900,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901025W target=ref>Wells et al. 2017</a>
800,K2-133,d,Transit,3,11.02340000,0.00080000,-0.00030000,0,0.077000,0.005000,-0.005000,0,,,,0,89.520,0.150,-0.060,0,,,,0,,0.180,0.012,-0.012,0,,,,0,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,14.288,0.010,0,,V (Johnson),,,,3655.00,80.00,-80.00,0,0,0.51,0.03,-0.03,0,0,0.47,0.03,-0.03,0,0,2017-10-26,0.0966667,0.0033333,-0.0037500,0,2457826.173900,0.000700,-0.001300,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901025W target=ref>Wells et al. 2017</a>
801,K2-136,b,Transit,3,7.97529200,0.00083300,-0.00077000,0,,,,0,0.100000,0.190000,-0.070000,0,89.300,0.500,-0.700,0,,,,0,,0.088,0.005,-0.004,0,,,,0,0,0,1,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,,,,,,,,,,,,,4499.00,50.00,-50.00,0,0,0.74,0.02,-0.02,0,0,0.66,0.02,-0.02,0,0,2017-11-09,0.1058333,0.0100000,-0.0204167,0,2457817.756310,0.004690,-0.004890,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170910328M target=ref>Mann et al. 2017</a>
802,K2-136,c,Transit,3,17.30713700,0.00025200,-0.00028400,0,,,,0,0.130000,0.270000,-0.110000,0,89.600,0.300,-0.300,0,,,,0,,0.260,0.010,-0.009,0,,,,0,0,0,1,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,,,,,,,,,,,,,4499.00,50.00,-50.00,0,0,0.74,0.02,-0.02,0,0,0.66,0.02,-0.02,0,0,2017-11-09,0.1437500,0.0250000,-0.0287500,0,2457812.717700,0.001000,-0.000770,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170910328M target=ref>Mann et al. 2017</a>
803,K2-136,d,Transit,3,25.57506500,0.00241800,-0.00235700,0,,,,0,0.140000,0.130000,-0.090000,0,89.400,0.400,-0.200,0,,,,0,,0.129,0.010,-0.007,0,,,,0,0,0,1,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,,,,,,,,,,,,,4499.00,50.00,-50.00,0,0,0.74,0.02,-0.02,0,0,0.66,0.02,-0.02,0,0,2017-11-09,0.1300000,0.0541667,-0.0225000,0,2457780.811640,0.006430,-0.006600,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170910328M target=ref>Mann et al. 2017</a>
804,K2-137,b,Transit,1,0.17971500,0.00000100,-0.00000100,0,0.005800,0.000600,-0.000600,0,0.000000,,,0,89.600,3.300,-3.300,0,0.50000,,,1,Mass,0.079,0.008,-0.008,0,,,,0,0,0,1,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,,,,,15.498,0.054,0,,V (Johnson),,,,3492.00,70.00,-70.00,0,0,0.46,0.05,-0.05,0,0,0.44,0.04,-0.04,0,0,2017-11-16,0.0262000,0.0011000,-0.0011000,0,2457583.024200,0.000400,-0.000400,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170704549S target=ref>Smith et al. 2017</a>
805,K2-138,b,Transit,5,2.35322000,0.00036000,-0.00036000,0,0.033800,0.000240,-0.000240,0,0.403000,,,1,86.900,2.200,-4.600,0,,,,0,,0.140,0.025,-0.015,0,,,,0,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,,V (Johnson),,,,5378.00,60.00,-60.00,0,0,0.93,0.06,-0.06,0,0,0.86,0.08,-0.08,0,0,2018-01-11,0.0720833,0.0095833,-0.0095833,0,2457773.317000,0.003700,-0.003800,0,<a href=http://exoplanetarchive.ipac.caltech.edu/docs/aj_155_2_57.pdf target=ref>Christiansen et al. 2018</a>
806,K2-138,c,Transit,5,3.55987000,0.00023000,-0.00022000,0,0.044540,0.000320,-0.000320,0,0.296000,,,1,87.500,1.800,-3.300,0,,,,0,,0.225,0.030,-0.014,0,,,,0,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,,V (Johnson),,,,5378.00,60.00,-60.00,0,0,0.93,0.06,-0.06,0,0,0.86,0.08,-0.08,0,0,2018-01-11,0.0970417,0.0039583,-0.0036667,0,2457740.322300,0.002500,-0.002700,0,<a href=http://exoplanetarchive.ipac.caltech.edu/docs/aj_155_2_57.pdf target=ref>Christiansen et al. 2018</a>
807,K2-138,d,Transit,5,5.40478000,0.00048000,-0.00046000,0,0.058830,0.000420,-0.000420,0,0.348000,,,1,87.900,1.500,-2.800,0,,,,0,,0.237,0.035,-0.016,0,,,,0,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,,V (Johnson),,,,5378.00,60.00,-60.00,0,0,0.93,0.06,-0.06,0,0,0.86,0.08,-0.08,0,0,2018-01-11,0.1237500,0.0054167,-0.0045833,0,2457743.160700,0.003600,-0.003700,0,<a href=http://exoplanetarchive.ipac.caltech.edu/docs/aj_155_2_57.pdf target=ref>Christiansen et al. 2018</a>
808,K2-138,e,Transit,5,8.26144000,0.00045000,-0.00044000,0,0.078070,0.000560,-0.000560,0,0.315000,,,1,88.700,0.930,-1.660,0,,,,0,,0.294,0.031,-0.016,0,,,,0,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,,V (Johnson),,,,5378.00,60.00,-60.00,0,0,0.93,0.06,-0.06,0,0,0.86,0.08,-0.08,0,0,2018-01-11,0.1276250,0.0044583,-0.0035417,0,2457740.645100,0.002000,-0.002100,0,<a href=http://exoplanetarchive.ipac.caltech.edu/docs/aj_155_2_57.pdf target=ref>Christiansen et al. 2018</a>
809,K2-138,f,Transit,5,12.75759000,0.00092000,-0.00092000,0,0.104300,0.000740,-0.000750,0,0.364000,,,1,89.030,0.700,-1.220,0,,,,0,,0.251,0.032,-0.017,0,,,,0,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,,V (Johnson),,,,5378.00,60.00,-60.00,0,0,0.93,0.06,-0.06,0,0,0.86,0.08,-0.08,0,0,2018-01-11,0.1329167,0.0058333,-0.0050000,0,2457738.701900,0.003300,-0.003500,0,<a href=http://exoplanetarchive.ipac.caltech.edu/docs/aj_155_2_57.pdf target=ref>Christiansen et al. 2018</a>
810,K2-139,b,Transit,1,28.38236000,0.00026000,-0.00026000,0,0.179000,0.021000,-0.027000,0,0.120000,0.120000,-0.080000,0,89.620,0.250,-0.360,0,0.38700,0.08300,-0.07500,0,Mass,0.808,0.034,-0.033,0,0.91000,0.24000,-0.20000,0,0,0,1,0,19h16m15.97s,289.066528,-17d54m38.5s,-17.910688,152.00,10.00,-10.00,0,11.653,0.137,0,,V (Johnson),11.373,,0,5340.00,110.00,-110.00,0,0,0.92,0.03,-0.03,0,0,0.86,0.03,-0.03,0,0,2017-12-14,0.2037500,0.0033333,-0.0091667,0,2457325.817140,0.000330,-0.000330,0,<a href=http://adsabs.harvard.edu/abs/2017arXiv170200691B target=ref>Barragan et al. 2017</a>
811,K2-14,b,Transit,1,8.36802000,0.00019000,-0.00019000,0,0.062700,0.000600,-0.000600,0,,,,,,,,,,,,,,0.429,0.037,-0.037,0,,,,,0,0,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,,,,,16.310,0.070,0,,V (Johnson),,,,3789.00,17.00,-16.00,0,0,0.47,0.01,-0.01,0,0,0.45,0.01,-0.01,0,0,2015-07-16,,,,,2456811.451300,0.001300,-0.001300,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
812,K2-140,b,Transit,1,6.56930000,0.00001700,-0.00002000,0,0.059100,0.003400,-0.003400,0,0.120000,0.056000,-0.046000,0,88.510,0.690,-0.530,0,1.01900,0.07000,-0.07000,0,Mass,1.095,0.018,-0.018,0,0.96300,0.08200,-0.08200,0,0,0,1,0,12h32m32.96s,188.137344,-09d36m27.5s,-9.607640,340.24,11.58,-11.58,0,12.624,0.030,0,,V (Johnson),12.393,,0,5654.00,55.00,-55.00,0,0,1.00,0.02,-0.02,0,0,0.99,0.01,-0.01,0,0,2018-01-05,0.1900000,0.0120833,-0.0120833,0,2457588.283800,0.000140,-0.000140,0,<a href=http://adsabs.harvard.edu/abs/2017arXiv170606865G target=ref>Giles et al. 2017</a>
813,K2-15,b,Transit,1,11.81040000,0.00204000,-0.00204000,0,0.091000,0.001800,-0.001800,0,,,,,,,,,,,,,,0.221,0.027,-0.027,0,,,,,0,0,1,0,11h52m26.59s,178.110794,+04d15m17.1s,4.254747,,,,,14.663,0.050,0,,V (Johnson),,,,5131.00,69.00,-65.00,0,0,0.72,0.06,-0.03,0,0,0.68,0.06,-0.03,0,0,2015-07-16,,,,,2456811.850900,0.007600,-0.007600,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
814,K2-16,b,Transit,2,7.61880000,0.00087000,-0.00087000,0,0.066700,0.001100,-0.001100,0,,,,,87.970,1.470,-1.860,0,,,,,,0.180,0.021,-0.021,0,,,,,0,0,1,0,11h40m23.34s,175.097260,+04d33m26.4s,4.557340,,,,,14.670,0.040,0,,V (Johnson),,,,4742.00,60.00,-60.00,0,0,0.68,0.03,-0.03,0,0,0.66,0.03,-0.03,0,0,2016-07-07,0.1036250,0.0159167,-0.0093750,0,2456811.687100,0.003800,-0.003800,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
815,K2-16,c,Transit,2,19.07863000,0.00327000,-0.00327000,0,0.122900,0.002100,-0.002100,0,,,,,87.830,1.680,-1.680,0,,,,,,0.227,0.100,-0.042,0,,,,,0,0,1,0,11h40m23.34s,175.097260,+04d33m26.4s,4.557340,,,,,14.670,0.040,0,,V (Johnson),,,,4742.00,60.00,-60.00,0,0,0.68,0.03,-0.03,0,0,0.66,0.03,-0.03,0,0,2016-07-07,0.1607917,0.0683333,-0.0303333,0,2456809.480000,0.009100,-0.009100,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
816,K2-17,b,Transit,1,17.96753000,0.00152000,-0.00152000,0,0.119000,0.002000,-0.002000,0,,,,,,,,,,,,,,0.199,0.018,-0.018,0,,,,,0,0,1,0,11h53m19.15s,178.329773,+06d24m44.1s,6.412261,,,,,13.519,0.040,0,,V (Johnson),,,,4320.00,56.00,-47.00,0,0,0.71,0.02,-0.05,0,0,0.66,0.02,-0.03,0,0,2015-07-16,,,,,2456817.946200,0.003500,-0.003500,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
817,K2-18,b,Transit,2,32.93963000,0.00010000,-0.00010000,0,0.143000,0.006000,-0.006000,0,0.430000,,,1,89.579,0.008,-0.009,0,0.02504,0.00601,-0.00601,0,Mass,0.212,0.020,-0.020,0,3.30000,1.20000,-1.20000,0,0,0,1,1,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,34.00,4.00,-4.00,0,13.496,0.050,0,,V (Johnson),,,,3457.00,39.00,-39.00,0,0,0.36,0.05,-0.05,0,0,0.41,0.04,-0.04,0,0,2017-12-21,,,,0,2457264.391570,0.000590,-0.000590,0,<a href=http://adsabs.harvard.edu/abs/2017A&A...608A..35C target=ref>Cloutier et al. 2017</a>
818,K2-18,c,Radial Velocity,2,8.96200000,0.00800000,-0.00800000,0,0.060000,0.003000,-0.003000,0,0.470000,,,1,,,,0,0.02363,0.00418,-0.00418,0,Msini,,,,0,,,,0,0,0,1,1,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,34.00,4.00,-4.00,0,13.496,0.050,0,,V (Johnson),,,,3457.00,39.00,-39.00,0,0,0.36,0.05,-0.05,0,0,0.41,0.04,-0.04,0,0,2017-12-21,,,,0,,,,0,<a href=http://adsabs.harvard.edu/abs/2017A&A...608A..35C target=ref>Cloutier et al. 2017</a>
819,K2-19,b,Transit,3,7.91940000,0.00005000,-0.00005000,0,0.074000,0.001200,-0.001200,0,,,,,89.470,0.410,-0.410,0,,,,,,0.691,0.035,-0.035,0,,,,,1,0,1,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,,,,,13.000,0.010,0,,V (Johnson),,,,5430.00,60.00,-60.00,0,0,0.93,0.05,-0.05,0,0,0.86,0.04,-0.04,0,0,2016-07-07,0.1459167,0.0026250,-0.0026250,0,2456813.383700,0.000300,-0.000300,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
820,K2-19,c,Transit,3,11.90715000,0.00150000,-0.00150000,0,0.097100,0.001600,-0.001600,0,,,,,87.990,1.420,-1.990,0,,,,,,0.434,0.055,-0.039,0,,,,,1,0,1,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,,,,,13.000,0.010,0,,V (Johnson),,,,5430.00,60.00,-60.00,0,0,0.93,0.05,-0.05,0,0,0.86,0.04,-0.04,0,0,2016-07-07,0.1821250,0.0391250,-0.0165000,0,2456817.275500,0.005100,-0.005100,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
821,K2-19,d,Transit,3,2.50856000,0.00041000,-0.00041000,0,0.034400,0.000600,-0.000600,0,,,,,85.830,2.970,-4.740,0,,,,,,0.102,0.012,-0.012,0,,,,,1,0,1,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,,,,,13.000,0.010,0,,V (Johnson),,,,5430.00,60.00,-60.00,0,0,0.93,0.05,-0.05,0,0,0.86,0.04,-0.04,0,0,2016-07-07,0.0904167,0.0136667,-0.0136667,0,2456808.920700,0.008600,-0.008600,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
822,K2-21,b,Transit,2,9.32503800,0.00037900,-0.00040300,0,0.076000,0.002000,-0.003000,0,0.100000,0.148654,-0.084698,0,88.980,0.500,-0.310,0,,,,0,,0.164,0.009,-0.009,0,,,,0,0,0,1,0,22h41m12.88s,340.303680,-14d29m20.4s,-14.488987,,,,,12.850,0.020,0,,V (Johnson),,,,4222.06,88.15,-84.41,0,0,0.68,0.07,-0.07,0,0,0.65,0.03,-0.03,0,0,2017-10-26,,,,0,2456989.422000,0.001000,-0.001000,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
823,K2-21,c,Transit,2,15.50192000,0.00091800,-0.00092800,0,0.107000,0.003000,-0.004000,0,0.210000,0.206770,-0.173719,0,88.850,0.400,-0.150,0,,,,0,,0.222,0.015,-0.017,0,,,,0,0,0,1,0,22h41m12.88s,340.303680,-14d29m20.4s,-14.488987,,,,,12.850,0.020,0,,V (Johnson),,,,4222.06,88.15,-84.41,0,0,0.68,0.07,-0.07,0,0,0.65,0.03,-0.03,0,0,2017-10-26,,,,0,2456988.471000,0.002000,-0.002000,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
824,K2-22,b,Transit,1,0.38107800,0.00000100,-0.00000100,0,0.008800,0.000800,-0.000800,0,,,,,,,,,1.40000,,,1,Mass,0.223,0.036,-0.036,1,,,,,0,0,1,0,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,,,,,15.597,0.050,0,,V (Johnson),,,,3830.00,100.00,-100.00,0,0,0.60,0.07,-0.07,0,0,0.57,0.06,-0.06,0,0,2015-10-15,0.0333333,0.0020833,-0.0020833,0,2456811.120800,0.000600,-0.000600,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...812..112S target=ref>Sanchis-Ojeda et al. 2015</a>
825,K2-24,b,Transit,2,20.88508000,0.00036000,-0.00036000,0,0.154200,0.002600,-0.002600,0,,,,,88.950,0.620,-0.620,0,,,,,,0.520,0.054,-0.054,0,,,,,0,0,1,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,,,,,11.070,0.110,0,,V (Johnson),10.860,,0,5743.00,60.00,-60.00,0,0,1.12,0.06,-0.06,0,0,1.21,0.12,-0.12,0,0,2016-07-07,0.2450417,0.0112083,-0.0077917,0,2456905.795000,0.000700,-0.000700,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
826,K2-24,c,Transit,2,42.36342000,0.00063000,-0.00063000,0,0.247100,0.004100,-0.004100,0,,,,,89.430,0.260,-0.170,0,,,,,,0.723,0.073,-0.073,0,,,,,0,0,1,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,,,,,11.070,0.110,0,,V (Johnson),10.860,,0,5743.00,60.00,-60.00,0,0,1.12,0.06,-0.06,0,0,1.21,0.12,-0.12,0,0,2016-07-07,0.2940833,0.0074583,-0.0074583,0,2456915.625000,0.000500,-0.000500,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>
827,K2-25,b,Transit,1,3.48455200,0.00003100,-0.00003700,0,,,,0,0.270000,0.160000,-0.210000,0,88.300,1.200,-0.700,0,,,,0,,0.306,0.085,-0.028,0,,,,0,0,0,1,0,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,,,,,15.881,0.030,0,,V (Johnson),,,,3180.00,60.00,-60.00,0,0,0.29,0.02,-0.02,0,0,0.29,0.02,-0.02,0,0,2017-09-28,0.0329167,0.0037500,-0.0070833,0,2457062.579350,0.000490,-0.000240,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...46M target=ref>Mann et al. 2016</a>
